bfly11_tmp(218)=0+j0, temp_bfly11(218)=0+j0, bfly11(218)=0+j0
bfly11_tmp(219)=0+j0, temp_bfly11(219)=0+j0, bfly11(219)=0+j0
bfly11_tmp(220)=0+j0, temp_bfly11(220)=0+j0, bfly11(220)=0+j0
bfly11_tmp(221)=0+j0, temp_bfly11(221)=0+j0, bfly11(221)=0+j0
bfly11_tmp(222)=0+j0, temp_bfly11(222)=0+j0, bfly11(222)=0+j0
bfly11_tmp(223)=0+j0, temp_bfly11(223)=0+j0, bfly11(223)=0+j0
bfly11_tmp(224)=0+j0, temp_bfly11(224)=0+j0, bfly11(224)=0+j0
bfly11_tmp(225)=-1024+j0, temp_bfly11(225)=-262144+j0, bfly11(225)=-1024+j0
bfly11_tmp(226)=0+j0, temp_bfly11(226)=0+j0, bfly11(226)=0+j0
bfly11_tmp(227)=0+j0, temp_bfly11(227)=0+j0, bfly11(227)=0+j0
bfly11_tmp(228)=0+j0, temp_bfly11(228)=0+j0, bfly11(228)=0+j0
bfly11_tmp(229)=0+j0, temp_bfly11(229)=0+j0, bfly11(229)=0+j0
bfly11_tmp(230)=0+j0, temp_bfly11(230)=0+j0, bfly11(230)=0+j0
bfly11_tmp(231)=0+j0, temp_bfly11(231)=0+j0, bfly11(231)=0+j0
bfly11_tmp(232)=0+j0, temp_bfly11(232)=0+j0, bfly11(232)=0+j0
bfly11_tmp(233)=0+j0, temp_bfly11(233)=0+j0, bfly11(233)=0+j0
bfly11_tmp(234)=0+j0, temp_bfly11(234)=0+j0, bfly11(234)=0+j0
bfly11_tmp(235)=0+j0, temp_bfly11(235)=0+j0, bfly11(235)=0+j0
bfly11_tmp(236)=0+j0, temp_bfly11(236)=0+j0, bfly11(236)=0+j0
bfly11_tmp(237)=0+j0, temp_bfly11(237)=0+j0, bfly11(237)=0+j0
bfly11_tmp(238)=0+j0, temp_bfly11(238)=0+j0, bfly11(238)=0+j0
bfly11_tmp(239)=0+j0, temp_bfly11(239)=0+j0, bfly11(239)=0+j0
bfly11_tmp(240)=0+j0, temp_bfly11(240)=0+j0, bfly11(240)=0+j0
bfly11_tmp(241)=-1024+j0, temp_bfly11(241)=-262144+j0, bfly11(241)=-1024+j0
bfly11_tmp(242)=0+j0, temp_bfly11(242)=0+j0, bfly11(242)=0+j0
bfly11_tmp(243)=0+j0, temp_bfly11(243)=0+j0, bfly11(243)=0+j0
bfly11_tmp(244)=0+j0, temp_bfly11(244)=0+j0, bfly11(244)=0+j0
bfly11_tmp(245)=0+j0, temp_bfly11(245)=0+j0, bfly11(245)=0+j0
bfly11_tmp(246)=0+j0, temp_bfly11(246)=0+j0, bfly11(246)=0+j0
bfly11_tmp(247)=0+j0, temp_bfly11(247)=0+j0, bfly11(247)=0+j0
bfly11_tmp(248)=0+j0, temp_bfly11(248)=0+j0, bfly11(248)=0+j0
bfly11_tmp(249)=0+j0, temp_bfly11(249)=0+j0, bfly11(249)=0+j0
bfly11_tmp(250)=0+j0, temp_bfly11(250)=0+j0, bfly11(250)=0+j0
bfly11_tmp(251)=0+j0, temp_bfly11(251)=0+j0, bfly11(251)=0+j0
bfly11_tmp(252)=0+j0, temp_bfly11(252)=0+j0, bfly11(252)=0+j0
bfly11_tmp(253)=0+j0, temp_bfly11(253)=0+j0, bfly11(253)=0+j0
bfly11_tmp(254)=0+j0, temp_bfly11(254)=0+j0, bfly11(254)=0+j0
bfly11_tmp(255)=0+j0, temp_bfly11(255)=0+j0, bfly11(255)=0+j0
bfly11_tmp(256)=0+j0, temp_bfly11(256)=0+j0, bfly11(256)=0+j0
bfly11_tmp(257)=2039+j-3, temp_bfly11(257)=521984+j-768, bfly11(257)=2039+j-3
bfly11_tmp(258)=2051+j-8, temp_bfly11(258)=525056+j-2048, bfly11(258)=2051+j-8
bfly11_tmp(259)=2046+j2, temp_bfly11(259)=523776+j512, bfly11(259)=2046+j2
bfly11_tmp(260)=2044+j-6, temp_bfly11(260)=523264+j-1536, bfly11(260)=2044+j-6
bfly11_tmp(261)=2043+j-1, temp_bfly11(261)=523008+j-256, bfly11(261)=2043+j-1
bfly11_tmp(262)=2051+j-6, temp_bfly11(262)=525056+j-1536, bfly11(262)=2051+j-6
bfly11_tmp(263)=2049+j-5, temp_bfly11(263)=524544+j-1280, bfly11(263)=2049+j-5
bfly11_tmp(264)=2048+j-4, temp_bfly11(264)=524288+j-1024, bfly11(264)=2048+j-4
bfly11_tmp(265)=2038+j-3, temp_bfly11(265)=521728+j-768, bfly11(265)=2038+j-3
bfly11_tmp(266)=2046+j-2, temp_bfly11(266)=523776+j-512, bfly11(266)=2046+j-2
bfly11_tmp(267)=2054+j-1, temp_bfly11(267)=525824+j-256, bfly11(267)=2054+j-1
bfly11_tmp(268)=2049+j1, temp_bfly11(268)=524544+j256, bfly11(268)=2049+j1
bfly11_tmp(269)=2046+j0, temp_bfly11(269)=523776+j0, bfly11(269)=2046+j0
bfly11_tmp(270)=2041+j2, temp_bfly11(270)=522496+j512, bfly11(270)=2041+j2
bfly11_tmp(271)=2040+j0, temp_bfly11(271)=522240+j0, bfly11(271)=2040+j0
bfly11_tmp(272)=2051+j4, temp_bfly11(272)=525056+j1024, bfly11(272)=2051+j4
bfly11_tmp(273)=-9+j-1, temp_bfly11(273)=-2304+j-256, bfly11(273)=-9+j-1
bfly11_tmp(274)=-3+j-2, temp_bfly11(274)=-768+j-512, bfly11(274)=-3+j-2
bfly11_tmp(275)=2+j0, temp_bfly11(275)=512+j0, bfly11(275)=2+j0
bfly11_tmp(276)=2+j2, temp_bfly11(276)=512+j512, bfly11(276)=2+j2
bfly11_tmp(277)=5+j-7, temp_bfly11(277)=1280+j-1792, bfly11(277)=5+j-7
bfly11_tmp(278)=3+j6, temp_bfly11(278)=768+j1536, bfly11(278)=3+j6
bfly11_tmp(279)=1+j3, temp_bfly11(279)=256+j768, bfly11(279)=1+j3
bfly11_tmp(280)=2+j-2, temp_bfly11(280)=512+j-512, bfly11(280)=2+j-2
bfly11_tmp(281)=-2+j-13, temp_bfly11(281)=-3328+j512, bfly11(281)=-13+j2
bfly11_tmp(282)=0+j-4, temp_bfly11(282)=-1024+j0, bfly11(282)=-4+j0
bfly11_tmp(283)=-2+j3, temp_bfly11(283)=768+j512, bfly11(283)=3+j2
bfly11_tmp(284)=-7+j9, temp_bfly11(284)=2304+j1792, bfly11(284)=9+j7
bfly11_tmp(285)=0+j-12, temp_bfly11(285)=-3072+j0, bfly11(285)=-12+j0
bfly11_tmp(286)=-7+j2, temp_bfly11(286)=512+j1792, bfly11(286)=2+j7
bfly11_tmp(287)=-6+j-2, temp_bfly11(287)=-512+j1536, bfly11(287)=-2+j6
bfly11_tmp(288)=1+j2, temp_bfly11(288)=512+j-256, bfly11(288)=2+j-1
bfly11_tmp(289)=-6+j-2, temp_bfly11(289)=-1536+j-512, bfly11(289)=-6+j-2
bfly11_tmp(290)=1+j-2, temp_bfly11(290)=256+j-512, bfly11(290)=1+j-2
bfly11_tmp(291)=-5+j9, temp_bfly11(291)=-1280+j2304, bfly11(291)=-5+j9
bfly11_tmp(292)=3+j-9, temp_bfly11(292)=768+j-2304, bfly11(292)=3+j-9
bfly11_tmp(293)=-3+j1, temp_bfly11(293)=-768+j256, bfly11(293)=-3+j1
bfly11_tmp(294)=-1+j0, temp_bfly11(294)=-256+j0, bfly11(294)=-1+j0
bfly11_tmp(295)=-1+j1, temp_bfly11(295)=-256+j256, bfly11(295)=-1+j1
bfly11_tmp(296)=-2+j2, temp_bfly11(296)=-512+j512, bfly11(296)=-2+j2
bfly11_tmp(297)=-1+j-2, temp_bfly11(297)=-543+j-181, bfly11(297)=-2+j-1
bfly11_tmp(298)=0+j0, temp_bfly11(298)=0+j0, bfly11(298)=0+j0
