pre_bfly12(179)=0+j0, index2_re(179)=7, index2_im(179)=7, bfly12(179)=0+j0
pre_bfly12(180)=0+j0, index2_re(180)=7, index2_im(180)=7, bfly12(180)=0+j0
pre_bfly12(181)=0+j0, index2_re(181)=7, index2_im(181)=7, bfly12(181)=0+j0
pre_bfly12(182)=0+j0, index2_re(182)=7, index2_im(182)=7, bfly12(182)=0+j0
pre_bfly12(183)=0+j0, index2_re(183)=7, index2_im(183)=7, bfly12(183)=0+j0
pre_bfly12(184)=0+j0, index2_re(184)=7, index2_im(184)=7, bfly12(184)=0+j0
pre_bfly12(185)=-131072+j0, index2_re(185)=7, index2_im(185)=7, bfly12(185)=-2048+j0
pre_bfly12(186)=0+j0, index2_re(186)=7, index2_im(186)=7, bfly12(186)=0+j0
pre_bfly12(187)=0+j0, index2_re(187)=7, index2_im(187)=7, bfly12(187)=0+j0
pre_bfly12(188)=0+j0, index2_re(188)=7, index2_im(188)=7, bfly12(188)=0+j0
pre_bfly12(189)=0+j0, index2_re(189)=7, index2_im(189)=7, bfly12(189)=0+j0
pre_bfly12(190)=0+j0, index2_re(190)=7, index2_im(190)=7, bfly12(190)=0+j0
pre_bfly12(191)=0+j0, index2_re(191)=7, index2_im(191)=7, bfly12(191)=0+j0
pre_bfly12(192)=0+j0, index2_re(192)=7, index2_im(192)=7, bfly12(192)=0+j0
pre_bfly12(193)=-131072+j0, index2_re(193)=7, index2_im(193)=7, bfly12(193)=-2048+j0
pre_bfly12(194)=0+j0, index2_re(194)=7, index2_im(194)=7, bfly12(194)=0+j0
pre_bfly12(195)=0+j0, index2_re(195)=7, index2_im(195)=7, bfly12(195)=0+j0
pre_bfly12(196)=0+j0, index2_re(196)=7, index2_im(196)=7, bfly12(196)=0+j0
pre_bfly12(197)=0+j0, index2_re(197)=7, index2_im(197)=7, bfly12(197)=0+j0
pre_bfly12(198)=0+j0, index2_re(198)=7, index2_im(198)=7, bfly12(198)=0+j0
pre_bfly12(199)=0+j0, index2_re(199)=7, index2_im(199)=7, bfly12(199)=0+j0
pre_bfly12(200)=0+j0, index2_re(200)=7, index2_im(200)=7, bfly12(200)=0+j0
pre_bfly12(201)=-131072+j0, index2_re(201)=7, index2_im(201)=7, bfly12(201)=-2048+j0
pre_bfly12(202)=0+j0, index2_re(202)=7, index2_im(202)=7, bfly12(202)=0+j0
pre_bfly12(203)=0+j0, index2_re(203)=7, index2_im(203)=7, bfly12(203)=0+j0
pre_bfly12(204)=0+j0, index2_re(204)=7, index2_im(204)=7, bfly12(204)=0+j0
pre_bfly12(205)=0+j0, index2_re(205)=7, index2_im(205)=7, bfly12(205)=0+j0
pre_bfly12(206)=0+j0, index2_re(206)=7, index2_im(206)=7, bfly12(206)=0+j0
pre_bfly12(207)=0+j0, index2_re(207)=7, index2_im(207)=7, bfly12(207)=0+j0
pre_bfly12(208)=0+j0, index2_re(208)=7, index2_im(208)=7, bfly12(208)=0+j0
pre_bfly12(209)=-131072+j0, index2_re(209)=7, index2_im(209)=7, bfly12(209)=-2048+j0
pre_bfly12(210)=0+j0, index2_re(210)=7, index2_im(210)=7, bfly12(210)=0+j0
pre_bfly12(211)=0+j0, index2_re(211)=7, index2_im(211)=7, bfly12(211)=0+j0
pre_bfly12(212)=0+j0, index2_re(212)=7, index2_im(212)=7, bfly12(212)=0+j0
pre_bfly12(213)=0+j0, index2_re(213)=7, index2_im(213)=7, bfly12(213)=0+j0
pre_bfly12(214)=0+j0, index2_re(214)=7, index2_im(214)=7, bfly12(214)=0+j0
pre_bfly12(215)=0+j0, index2_re(215)=7, index2_im(215)=7, bfly12(215)=0+j0
pre_bfly12(216)=0+j0, index2_re(216)=7, index2_im(216)=7, bfly12(216)=0+j0
pre_bfly12(217)=-131072+j0, index2_re(217)=7, index2_im(217)=7, bfly12(217)=-2048+j0
pre_bfly12(218)=0+j0, index2_re(218)=7, index2_im(218)=7, bfly12(218)=0+j0
pre_bfly12(219)=0+j0, index2_re(219)=7, index2_im(219)=7, bfly12(219)=0+j0
pre_bfly12(220)=0+j0, index2_re(220)=7, index2_im(220)=7, bfly12(220)=0+j0
pre_bfly12(221)=0+j0, index2_re(221)=7, index2_im(221)=7, bfly12(221)=0+j0
pre_bfly12(222)=0+j0, index2_re(222)=7, index2_im(222)=7, bfly12(222)=0+j0
pre_bfly12(223)=0+j0, index2_re(223)=7, index2_im(223)=7, bfly12(223)=0+j0
pre_bfly12(224)=0+j0, index2_re(224)=7, index2_im(224)=7, bfly12(224)=0+j0
pre_bfly12(225)=-131072+j0, index2_re(225)=7, index2_im(225)=7, bfly12(225)=-2048+j0
pre_bfly12(226)=0+j0, index2_re(226)=7, index2_im(226)=7, bfly12(226)=0+j0
pre_bfly12(227)=0+j0, index2_re(227)=7, index2_im(227)=7, bfly12(227)=0+j0
pre_bfly12(228)=0+j0, index2_re(228)=7, index2_im(228)=7, bfly12(228)=0+j0
pre_bfly12(229)=0+j0, index2_re(229)=7, index2_im(229)=7, bfly12(229)=0+j0
pre_bfly12(230)=0+j0, index2_re(230)=7, index2_im(230)=7, bfly12(230)=0+j0
pre_bfly12(231)=0+j0, index2_re(231)=7, index2_im(231)=7, bfly12(231)=0+j0
pre_bfly12(232)=0+j0, index2_re(232)=7, index2_im(232)=7, bfly12(232)=0+j0
pre_bfly12(233)=-131072+j0, index2_re(233)=7, index2_im(233)=7, bfly12(233)=-2048+j0
pre_bfly12(234)=0+j0, index2_re(234)=7, index2_im(234)=7, bfly12(234)=0+j0
pre_bfly12(235)=0+j0, index2_re(235)=7, index2_im(235)=7, bfly12(235)=0+j0
pre_bfly12(236)=0+j0, index2_re(236)=7, index2_im(236)=7, bfly12(236)=0+j0
pre_bfly12(237)=0+j0, index2_re(237)=7, index2_im(237)=7, bfly12(237)=0+j0
pre_bfly12(238)=0+j0, index2_re(238)=7, index2_im(238)=7, bfly12(238)=0+j0
pre_bfly12(239)=0+j0, index2_re(239)=7, index2_im(239)=7, bfly12(239)=0+j0
pre_bfly12(240)=0+j0, index2_re(240)=7, index2_im(240)=7, bfly12(240)=0+j0
pre_bfly12(241)=-131072+j0, index2_re(241)=7, index2_im(241)=7, bfly12(241)=-2048+j0
pre_bfly12(242)=0+j0, index2_re(242)=7, index2_im(242)=7, bfly12(242)=0+j0
